MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21626415,1165000,85718,-110.943776,32.34199,0.96,14369.6,2001,4,4,4888,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",158
21605560,1070000,85750,-110.823116,32.285494,1.16,12106.34,2007,4,5,5971,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Natural Stone, Wood",125
21703610,1075000,85718,-110.920316,32.337736,0.97,9277.27,1985,4,4,4627,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",323
21631251,1060000,85750,-110.849721,32.322255,0.37,11571,1996,3,3,4160,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Ceramic Tile, Natural Stone, Wood, Other",142
21115238,1032000,85658,-111.054938,32.477745,1.34,15004.46,2007,4,4,4397,4,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",138
21034387,1035000,85718,-110.897762,32.333109,1.53,7783.55,2004,4,3,4023,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",0
21130145,1075000,85718,-110.951181,32.344265,3.02,13368,2006,4,4,4614,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",159
21128258,1035000,85718,-110.908822,32.302371,1.47,8168.52,1986,4,6,4719,3,"Dishwasher, Refrigerator, Microwave, Oven",2,Natural Stone,193
21202375,1100000,85718,-110.915556,32.335375,1,7353,2000,4,4,3711,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile, Natural Stone, Wood",52
21214587,1013000,85742,-111.026598,32.413654,3.3,10321.45,2008,4,4,3939,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Concrete, Wood",120
21300462,1050000,85718,-110.925284,32.294634,1.2,11796,2009,4,4,4779,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",145
21222898,1100000,85755,-110.996431,32.457233,7.87,7596,2004,4,6,3668,6,"Dishwasher, Garbage Disposal, Microwave, Oven",2,"Carpet, Natural Stone",42
21307303,1100000,85718,-110.936325,32.339695,1.01,11359.23,2000,5,6,4553,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",160
21324515,1136500,85718,-110.889426,32.291586,0.84,9637,2007,4,5,4748,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone",300
21325168,1100000,85718,-110.946836,32.340916,0.95,10529,2006,4,4,3972,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",153
21604907,1015000,85749,-110.735178,32.258733,0.87,1083.38,2016,5,5,5367,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",125
21629180,1100000,85742,-111.028005,32.369437,3.3,11116,2008,4,5,5102,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",150
21709972,1090600,85718,-110.910635,32.294131,1.6,10157,1993,5,4,4446,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile",194
21724506,1200000,85718,-110.952157,32.351106,4.57,12759,1976,6,5,6074,2,"Dishwasher, Double Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: Stainless, Oven: Stainless",1,Mexican Tile,None
21800519,1195000,85719,-110.94009,32.231485,0.29,4181.79,1947,3,4,3680,0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Stone",2,Other: Porcelain,0
21800114,1017500,85718,-110.895897,32.33308,0.94,6743.86,1971,5,6,4229,4,"Dishwasher, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Caesarstone",1,"Carpet, Ceramic Tile",0
21808588,1100000,85718,-110.888252,32.326819,1.23,12093.49,1993,5,6,6167,3,"Compactor, Desk, Dishwasher, Garbage Disposal, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: granite, Microwave: yes",2,"Carpet, Natural Stone, Wood",258
21815253,1060000,85750,-110.825952,32.318299,2.32,11477.45,1976,5,6,5712,6,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Closet, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Black, Countertops: Granite, Microwave: Black, Oven: Black",3,"Carpet, Ceramic Tile",None
21800055,1090000,85749,-110.717421,32.267699,3.3,8560,2007,4,4,4136,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Prep Sink, Refrigerator, Appliance Color: Other, Countertops: Granite, Oven: 2 Ovens",3,Mexican Tile,55
21827218,1150000,85718,-110.922353,32.297341,1.02,9608,2002,5,4,3960,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Sharp, Oven: Thermador",2,"Carpet, Natural Stone",145.83
21825850,1195000,85640,-111.043214,31.562089,4.5,4370,2004,3,4,3533,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Countertops: Granite, Microwave: Viking/Built in, Oven: Viking/Gas",3,Other: Travertine,None
21908100,1060000,85718,-110.93866,32.348912,0.85,11502.71,1999,4,5,4125,4,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Walk-In, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: ., Oven: .",3,Other: Flagstone,175
21904919,1100000,85658,-111.100441,32.469199,0.29,12681.21,2014,3,3,2308,2,"Dishwasher, Freezer, Gas Range, Island, Refrigerator",1,Natural Stone,None
21911577,1100000,85719,-110.938483,32.239387,0.18,6462.67,1977,3,4,3752,2,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Butler, Prep Sink, Refrigerator, Reverse Osmosis, Warming Drawer, Water Purifier, Appliance Color: Stainless, Countertops: limestone and SS, Microwave: stainless, Oven: Miele",1,"Natural Stone, Other: Limestone",None
21425598,1045000,85737,-110.989458,32.400046,0.63,12758.7,2005,4,5,5771,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",45
21327570,1100000,85658,-111.05176,32.479892,1.71,11275.97,2005,3,4,3620,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",143
21625849,1150000,85718,-110.928432,32.307983,1.24,7774.52,1992,4,4,5338,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Concrete,0
21709343,1190000,85701,-110.964253,32.216347,0.28,7528.35,1977,9,9,7688,1,"Compactor, Desk, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Other, Countertops: stone",1,"Concrete, Mexican Tile, Wood",0
21500280,1020000,85718,-110.898425,32.333345,1.51,3000.91,2014,4,4,3775,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone",0
